clinical_drug_form	ingredient
DRON:00020587	CHEBI:5779
DRON:00020588	CHEBI:5747
DRON:00020588	CHEBI:5779
DRON:00020589	CHEBI:17650
DRON:00020590	CHEBI:17650
DRON:00020591	CHEBI:17650
DRON:00020592	CHEBI:17650
DRON:00020593	CHEBI:17650
DRON:00020594	CHEBI:5784
DRON:00020595	CHEBI:16240
DRON:00020596	CHEBI:5790
DRON:00020597	CHEBI:5790
DRON:00020598	CHEBI:5790
DRON:00020599	CHEBI:5790
DRON:00020600	CHEBI:5801
DRON:00020601	CHEBI:44423
DRON:00020602	CHEBI:44423
DRON:00020603	CHEBI:5818
DRON:00020604	CHEBI:5818
DRON:00020605	CHEBI:5818
DRON:00020606	CHEBI:5818
DRON:00020607	DRON:00010112
DRON:00020608	CHEBI:17486
DRON:00020609	CHEBI:17486
DRON:00020610	CHEBI:17486
DRON:00020611	CHEBI:17486
DRON:00020612	CHEBI:17486
DRON:00020612	CHEBI:8069
DRON:00020613	CHEBI:5855
DRON:00020614	CHEBI:5855
DRON:00020615	CHEBI:5855
DRON:00020616	CHEBI:5855
DRON:00020617	CHEBI:5779
DRON:00020617	CHEBI:5855
DRON:00020618	CHEBI:51209
DRON:00020618	CHEBI:5855
DRON:00020619	CHEBI:51209
DRON:00020619	CHEBI:5855
DRON:00020620	CHEBI:47499
DRON:00020621	CHEBI:47499
DRON:00020622	CHEBI:5893
DRON:00020623	CHEBI:90117
DRON:00020624	CHEBI:44032
DRON:00020625	CHEBI:49662
DRON:00020626	CHEBI:49662
DRON:00020627	CHEBI:49662
DRON:00020628	CHEBI:49662
DRON:00020629	CHEBI:17401
DRON:00020629	CHEBI:24848
DRON:00020630	DRON:00017633
DRON:00020631	DRON:00017204
DRON:00020632	DRON:00010118
DRON:00020633	CHEBI:24859
DRON:00020634	CHEBI:5950
DRON:00020635	CHEBI:31711
DRON:00020636	DRON:00013452
DRON:00020637	CHEBI:5959
DRON:00020638	CHEBI:5778
DRON:00020638	CHEBI:5959
DRON:00020639	DRON:00018030
DRON:00020640	CHEBI:22652
DRON:00020640	CHEBI:30251
DRON:00020641	DRON:00010126
DRON:00020642	CHEBI:24898
DRON:00020643	CHEBI:134765
DRON:00020644	CHEBI:6030
DRON:00020645	CHEBI:6030
DRON:00020646	CHEBI:4495
DRON:00020647	CHEBI:6060
DRON:00020648	DRON:00010130
DRON:00020649	CHEBI:6067
DRON:00020650	DRON:00013649
DRON:00020651	CHEBI:6073
DRON:00020652	CHEBI:6073
DRON:00020653	CHEBI:6076
DRON:00020654	CHEBI:6078
DRON:00020655	DRON:00010134
DRON:00020656	CHEBI:6104
DRON:00020657	CHEBI:6104
DRON:00020658	DRON:00016775
DRON:00020659	DRON:00016775
DRON:00020660	DRON:00018660
DRON:00020661	CHEBI:16794
DRON:00020661	CHEBI:46195
DRON:00020662	CHEBI:16794
DRON:00020662	CHEBI:46195
DRON:00020663	DRON:00017075
DRON:00020664	CHEBI:2379
DRON:00020665	CHEBI:2379
DRON:00020665	CHEBI:5778
DRON:00020666	CHEBI:31159
DRON:00020667	CHEBI:31162
DRON:00020668	CHEBI:31162
