rxcui	drugbank
8015	DB13415
8016	DB13198
8031	DB00085
8031	DB11066
8042	DB12710
8047	DB01186
8050	DB01074
8076	DB00850
8080	DB15274
8091	DB11058
8113	DB03783
8120	DB01438
8121	DB03575
8123	DB00780
8126	DB02192
8129	DB00914
8130	DB00498
8131	DB09250
8132	DB01620
8133	DB00830
8134	DB01174
8136	DB04823
8149	DB00925
8150	DB00946
8152	DB00191
8153	DB00692
8156	DB00120
8160	DB00812
8163	DB00388
8175	DB00397
8177	DB03884
8183	DB00252
8196	DB12944
8214	DB15834
8225	DB13191
8246	DB11133
8258	DB01632
8259	DB09394
8263	DB14151
8272	DB04522
8299	DB00981
8302	DB14981
8308	DB01022
8313	DB17591
8328	DB01085
8331	DB01100
8332	DB00960
8333	DB15840
8337	DB13823
8338	DB06808
8339	DB00319
8340	DB00592
8345	DB09350
8347	DB00236
8348	DB01621
8350	DB11584
8351	DB09210
8352	DB00670
8353	DB12478
8354	DB12492
8355	DB13744
8356	DB00554
8372	DB01604
8373	DB06153
8382	DB15461
8410	DB00009
8462	DB09094
8463	DB01179
8472	DB15864
8491	DB16467
8513	DB11161
8514	DB11077
8516	DB09287
8521	DB15879
8536	DB00781
8559	DB11178
8560	DB11063
8565	DB01324
8570	DB11060
8575	DB06478
8588	DB01345
8588	DB14500
8589	DB15819
8591	DB00761
8597	DB06715
8604	DB13831
8610	DB11061
8611	DB06812
8620	DB01297
8627	DB01588
8628	DB01058
8629	DB00457
8637	DB12832
8638	DB00860
8640	DB00635
8674	DB04825
8686	DB00750
8687	DB01087
8691	DB00794
8698	DB01032
8699	DB01599
8700	DB01035
8701	DB00721
8702	DB01168
8703	DB01039
8704	DB00433
8718	DB00387
8723	DB01123
8727	DB00396
8730	DB13431
8733	DB17875
8737	DB00172
8742	DB00420
8745	DB01069
8754	DB01182
8761	DB00782
8766	DB01608
8770	DB00777
8782	DB00818
8783	DB11355
8784	DB09342
8785	DB00647
8787	DB00571
8792	DB06714
8793	DB09366
8794	DB00550
8814	DB01240
8825	DB09141
8826	DB13700
8839	DB09356
8871	DB12667
8886	DB00344
8896	DB00852
8912	DB11664
8928	DB11097
8948	DB11601
8950	DB04440
8963	DB01917
8984	DB11156
8987	DB00339
8991	DB11087
9000	DB00545
9002	DB00147
9004	DB00114
9005	DB11673
9009	DB06691
9010	DB00205
9020	DB13084
9036	DB03088
9060	DB04216
9061	DB01103
9066	DB04575
9068	DB00908
9071	DB00468
9100	DB13972
9133	DB09400
9143	DB00863
9225	DB00143
9257	DB09005
9259	DB01180
9260	DB00206
9344	DB00811
9345	DB14704
9346	DB00140
9364	DB03615
9384	DB01045
9386	DB00478
9392	DB00867
9449	DB01212
9462	DB01301
9471	DB11182
9478	DB00778
9500	DB01698
9504	DB00118
9509	DB12418
9515	DB09446
9518	DB08797
9520	DB19376
9524	DB00795
9525	DB00936
9549	DB12403
9591	DB13128
9601	DB00747
9603	DB00747
9624	DB00418
9627	DB09527
9639	DB01037
9641	DB11135
9644	DB11142
9654	DB13647
9671	DB00133
9690	DB00062
9724	DB15930
9771	DB11132
9774	DB12982
9789	DB11080
9793	DB05245
9794	DB14375
9796	DB09512
9800	DB09142
9806	DB12604
9863	DB09153
9871	DB00815
9873	DB09325
9876	DB13743
9880	DB11151
9884	DB11119
9899	DB09072
9913	DB00464
9939	DB09099
9941	DB12656
9945	DB01638
9947	DB00489
9949	DB09422
9952	DB06727
9968	DB16556
9991	DB06145
9997	DB00421
10014	DB11460
10030	DB11092
10031	DB02901
10032	DB06718
10038	DB15301
10104	DB19273
10106	DB00086
10109	DB01082
10114	DB00428
10140	DB19198
10154	DB00202
10156	DB00364
10159	DB02772
10167	DB09324
