branded_drug	ingredient
DRON:00070197	CHEBI:15377
DRON:00070197	CHEBI:17883
DRON:00070197	CHEBI:32145
DRON:00070237	CHEBI:132106
DRON:00070237	CHEBI:17987
DRON:00070237	CHEBI:31835
DRON:00070237	CHEBI:32063
DRON:00070237	CHEBI:32234
DRON:00070237	CHEBI:5291
DRON:00070237	CHEBI:53426
DRON:00070237	CHEBI:62968
DRON:00070237	CHEBI:88542
DRON:00070238	CHEBI:15377
DRON:00070238	CHEBI:17883
DRON:00070238	CHEBI:32145
DRON:00070264	CHEBI:30618
DRON:00070264	CHEBI:32234
DRON:00070264	CHEBI:5291
DRON:00070266	CHEBI:16236
DRON:00070266	DRON:00723326
DRON:00070280	DRON:00015464
DRON:00070287	CHEBI:30563
DRON:00070287	CHEBI:30618
DRON:00070287	CHEBI:32234
DRON:00070287	CHEBI:46793
DRON:00070287	CHEBI:53248
DRON:00070287	CHEBI:53426
DRON:00070287	CHEBI:62968
DRON:00070287	DRON:00018745
DRON:00070287	DRON:00723360
DRON:00070287	DRON:00723505
DRON:00070287	DRON:00845278
DRON:00070289	CHEBI:17716
DRON:00070289	CHEBI:53248
DRON:00070289	CHEBI:62968
DRON:00070311	CHEBI:17716
DRON:00070311	CHEBI:30618
DRON:00070311	CHEBI:32234
DRON:00070311	CHEBI:46793
DRON:00070311	DRON:00013829
DRON:00070311	DRON:00723534
DRON:00070324	CHEBI:17716
DRON:00070324	CHEBI:32234
DRON:00070324	CHEBI:46793
DRON:00070324	DRON:00016127
DRON:00070324	DRON:00767224
DRON:00070331	CHEBI:15377
DRON:00070331	CHEBI:17883
DRON:00070331	CHEBI:26710
DRON:00070331	CHEBI:32145
DRON:00070331	CHEBI:32954
DRON:00070338	CHEBI:15377
DRON:00070338	CHEBI:26710
DRON:00070338	CHEBI:37586
DRON:00070338	CHEBI:53426
DRON:00070358	CHEBI:136014
DRON:00070358	CHEBI:15377
DRON:00070358	CHEBI:17754
DRON:00070358	CHEBI:34683
DRON:00070358	DRON:00015290
DRON:00070358	DRON:00017909
DRON:00070358	DRON:00018231
DRON:00070358	DRON:00723364
DRON:00070358	DRON:00723508
DRON:00070385	CHEBI:17716
DRON:00070385	CHEBI:30563
DRON:00070385	DRON:00020263
DRON:00070386	CHEBI:17716
DRON:00070386	CHEBI:30563
DRON:00070386	DRON:00020263
DRON:00070386	DRON:00723223
DRON:00070422	CHEBI:15377
DRON:00070422	CHEBI:53248
DRON:00070422	CHEBI:62968
DRON:00070445	CHEBI:168426
DRON:00070445	CHEBI:16997
DRON:00070445	CHEBI:17992
DRON:00070445	CHEBI:31346
DRON:00070445	CHEBI:32234
DRON:00070445	CHEBI:46726
DRON:00070445	CHEBI:46793
DRON:00070445	CHEBI:50821
DRON:00070445	CHEBI:53248
DRON:00070445	CHEBI:62968
DRON:00070445	CHEBI:90184
DRON:00070445	CHEBI:9679
DRON:00070445	DRON:00016127
DRON:00070445	DRON:00017826
DRON:00070445	DRON:00723360
DRON:00070445	DRON:00723448
DRON:00070445	DRON:00723499
DRON:00070445	DRON:00723572
DRON:00070445	DRON:00767224
DRON:00070445	DRON:00827263
DRON:00070510	CHEBI:15377
DRON:00070510	CHEBI:29864
DRON:00070510	CHEBI:32145
DRON:00070524	CHEBI:17716
DRON:00070524	CHEBI:30618
DRON:00070524	CHEBI:32234
DRON:00070524	CHEBI:46793
DRON:00070524	CHEBI:53248
DRON:00070524	DRON:00013829
DRON:00070534	CHEBI:15377
DRON:00070534	CHEBI:30618
DRON:00070534	CHEBI:32234
DRON:00070534	CHEBI:46793
DRON:00070534	CHEBI:53426
DRON:00070534	CHEBI:62968
DRON:00070534	DRON:00020263
DRON:00070534	DRON:00723360
DRON:00070534	DRON:00723688
DRON:00070535	CHEBI:15377
DRON:00070535	CHEBI:30618
DRON:00070535	CHEBI:32234
DRON:00070535	CHEBI:46793
DRON:00070535	CHEBI:53426
DRON:00070535	CHEBI:62968
DRON:00070535	DRON:00723360
DRON:00070536	CHEBI:15377
DRON:00070536	CHEBI:30618
DRON:00070536	CHEBI:32234
DRON:00070536	CHEBI:46793
DRON:00070536	CHEBI:53426
DRON:00070536	CHEBI:62968
DRON:00070536	DRON:00723360
DRON:00070565	CHEBI:15377
DRON:00070565	CHEBI:53248
DRON:00070565	CHEBI:62968
DRON:00070569	CHEBI:15377
DRON:00070569	CHEBI:17716
DRON:00070569	CHEBI:17883
DRON:00070569	CHEBI:17987
DRON:00070569	CHEBI:32145
DRON:00070569	CHEBI:53258
DRON:00070606	CHEBI:30563
DRON:00070606	CHEBI:53248
DRON:00070606	CHEBI:62968
DRON:00070606	DRON:00723505
DRON:00070606	DRON:00845278
DRON:00070633	CHEBI:30618
DRON:00070633	CHEBI:32234
DRON:00070633	CHEBI:46793
DRON:00070633	CHEBI:62968
DRON:00070652	CHEBI:15377
DRON:00070652	CHEBI:16997
DRON:00070652	CHEBI:17883
DRON:00070652	CHEBI:30911
DRON:00070652	CHEBI:32145
DRON:00070652	DRON:00019780
DRON:00070652	DRON:00723825
DRON:00070653	CHEBI:15377
DRON:00070653	CHEBI:30618
DRON:00070653	CHEBI:32234
DRON:00070653	CHEBI:46793
DRON:00070653	CHEBI:53426
DRON:00070653	CHEBI:62968
DRON:00070653	DRON:00723360
DRON:00070656	CHEBI:15377
DRON:00070656	CHEBI:17716
DRON:00070656	CHEBI:30563
DRON:00070656	CHEBI:53248
DRON:00070656	CHEBI:62968
DRON:00070656	DRON:00020263
DRON:00070656	DRON:00937521
DRON:00070666	CHEBI:30563
DRON:00070666	CHEBI:30618
DRON:00070666	CHEBI:32234
DRON:00070666	CHEBI:62968
DRON:00070666	DRON:00723688
DRON:00070669	CHEBI:17716
DRON:00070669	CHEBI:22652
DRON:00070669	CHEBI:32178
DRON:00070669	CHEBI:32234
DRON:00070669	CHEBI:50819
DRON:00070669	CHEBI:62968
DRON:00070669	CHEBI:76359
DRON:00070669	DRON:00016127
DRON:00070669	DRON:00020263
DRON:00070669	DRON:00767224
DRON:00070669	DRON:00827263
DRON:00070671	CHEBI:30618
DRON:00070671	CHEBI:32234
DRON:00070671	CHEBI:46793
DRON:00070671	CHEBI:53426
DRON:00070671	CHEBI:62968
DRON:00070672	CHEBI:16997
DRON:00070672	CHEBI:17992
DRON:00070672	CHEBI:31835
DRON:00070672	CHEBI:32063
DRON:00070673	CHEBI:10607
DRON:00070673	CHEBI:16236
DRON:00070673	CHEBI:30618
DRON:00070673	CHEBI:32234
DRON:00070673	CHEBI:46793
DRON:00070673	CHEBI:50819
DRON:00070673	CHEBI:53248
DRON:00070673	CHEBI:62968
DRON:00070673	DRON:00723226
DRON:00070673	DRON:00723767
DRON:00070677	CHEBI:17716
DRON:00070677	CHEBI:32234
DRON:00070677	CHEBI:5291
DRON:00070677	CHEBI:62968
DRON:00070678	CHEBI:17716
DRON:00070678	CHEBI:32234
DRON:00070678	CHEBI:5291
DRON:00070678	CHEBI:62968
DRON:00070679	CHEBI:17716
DRON:00070679	CHEBI:32234
DRON:00070679	CHEBI:5291
DRON:00070679	CHEBI:62968
DRON:00070680	CHEBI:17716
DRON:00070680	CHEBI:32234
DRON:00070680	CHEBI:5291
DRON:00070680	CHEBI:62968
DRON:00070681	CHEBI:32234
DRON:00070681	CHEBI:53426
DRON:00070681	CHEBI:62968
DRON:00070681	DRON:00017826
DRON:00070682	CHEBI:30187
DRON:00070682	CHEBI:32234
DRON:00070682	CHEBI:62968
DRON:00070682	DRON:00017826
DRON:00070682	DRON:00723226
DRON:00070683	CHEBI:32234
DRON:00070683	CHEBI:50819
DRON:00070683	CHEBI:62968
DRON:00070683	DRON:00017826
DRON:00070683	DRON:00723226
DRON:00070684	CHEBI:30187
DRON:00070684	CHEBI:32234
DRON:00070684	CHEBI:62968
DRON:00070684	DRON:00017826
DRON:00070692	CHEBI:16236
DRON:00070692	CHEBI:32234
DRON:00070692	CHEBI:34247
DRON:00070692	CHEBI:50819
DRON:00070692	CHEBI:5291
DRON:00070692	DRON:00723402
DRON:00070693	CHEBI:15377
DRON:00070693	CHEBI:16236
DRON:00070693	CHEBI:16997
DRON:00070693	DRON:00012174
DRON:00070693	DRON:00018261
DRON:00070693	DRON:00723223
DRON:00070693	DRON:00723402
DRON:00070701	CHEBI:10607
DRON:00070701	CHEBI:15377
DRON:00070701	CHEBI:16997
DRON:00070701	CHEBI:17754
DRON:00070701	CHEBI:17992
DRON:00070701	CHEBI:29864
DRON:00070701	CHEBI:30563
DRON:00070701	CHEBI:30618
DRON:00070701	CHEBI:31835
DRON:00070701	CHEBI:32063
