curie	ndc	branded_drug
DRON:00090859	00072780060	DRON:00068961
DRON:00091177	00031784063	DRON:00068963
DRON:00091178	51129152001	DRON:00068963
DRON:00091179	59630020510	DRON:00068963
DRON:00091180	59630020540	DRON:00068963
DRON:00091191	00006070928	DRON:00068978
DRON:00091192	00006070968	DRON:00068978
DRON:00091193	00186070928	DRON:00068978
DRON:00091194	00186070968	DRON:00068978
DRON:00091195	61113070928	DRON:00068978
DRON:00091196	61113070968	DRON:00068978
DRON:00091210	00173034143	DRON:00068998
DRON:00091211	00173034144	DRON:00068998
DRON:00091212	58056033043	DRON:00068998
DRON:00091213	00173034243	DRON:00068999
DRON:00091214	00173034244	DRON:00068999
DRON:00091215	55154110301	DRON:00068999
DRON:00091216	55289081030	DRON:00068999
DRON:00091217	58056033143	DRON:00068999
DRON:00091226	00007655226	DRON:00069075
DRON:00091227	00029655022	DRON:00069075
DRON:00091228	00029655207	DRON:00069075
DRON:00091229	00029655221	DRON:00069075
DRON:00091230	00029655226	DRON:00069075
DRON:00091231	00029655240	DRON:00069075
DRON:00091232	00002700101	DRON:00069078
DRON:00091233	00002700125	DRON:00069078
DRON:00091234	00002700301	DRON:00069078
DRON:00091235	00002700310	DRON:00069078
DRON:00091236	00002726001	DRON:00069078
DRON:00091237	00002726025	DRON:00069078
DRON:00091238	00002726101	DRON:00069078
DRON:00091239	00002726110	DRON:00069078
DRON:00091240	00009050001	DRON:00069095
DRON:00091241	00009050002	DRON:00069095
DRON:00091242	00009055501	DRON:00069096
DRON:00091243	00009055502	DRON:00069096
DRON:00091244	54569138700	DRON:00069096
DRON:00091245	55045353501	DRON:00069096
DRON:00091264	00052069105	DRON:00069118
DRON:00091274	00131220037	DRON:00069149
DRON:00091275	00131220086	DRON:00069149
DRON:00091276	00016021165	DRON:00069157
DRON:00091277	00016021265	DRON:00069157
DRON:00091278	61563021165	DRON:00069157
DRON:00091279	61563021265	DRON:00069157
DRON:00091280	00045041410	DRON:00069190
DRON:00091281	00045041460	DRON:00069190
DRON:00091282	00045041470	DRON:00069190
DRON:00091283	54569146701	DRON:00069190
DRON:00091284	54569146707	DRON:00069190
DRON:00091285	60491063930	DRON:00069190
DRON:00091286	60491063934	DRON:00069190
DRON:00091287	62584041400	DRON:00069190
DRON:00091417	00026556161	DRON:00069248
DRON:00091418	00026556162	DRON:00069248
DRON:00091419	00026556192	DRON:00069248
DRON:00091420	45802042435	DRON:00069248
DRON:00091421	45802042437	DRON:00069248
DRON:00091422	54569155700	DRON:00069248
DRON:00091423	55045226105	DRON:00069248
DRON:00091858	00007152544	DRON:00069285
DRON:00091859	00029152522	DRON:00069285
DRON:00091860	00029152525	DRON:00069285
DRON:00091861	00029152544	DRON:00069285
DRON:00091862	00247028422	DRON:00069285
DRON:00091863	00403264718	DRON:00069285
DRON:00091864	49999027822	DRON:00069285
DRON:00091865	51947152504	DRON:00069285
DRON:00091866	52959016622	DRON:00069285
DRON:00091867	52959101400	DRON:00069285
DRON:00091868	52959101422	DRON:00069285
DRON:00091869	53002098563	DRON:00069285
DRON:00091870	53002098566	DRON:00069285
DRON:00091871	54569200400	DRON:00069285
DRON:00091872	54569405200	DRON:00069285
DRON:00091873	54569496000	DRON:00069285
DRON:00091874	54868020201	DRON:00069285
DRON:00091875	54868020202	DRON:00069285
DRON:00091876	55045156105	DRON:00069285
DRON:00091877	55045156108	DRON:00069285
DRON:00091878	55175220005	DRON:00069285
DRON:00091879	58016315400	DRON:00069285
DRON:00091880	58016315401	DRON:00069285
DRON:00091881	58016315415	DRON:00069285
DRON:00091882	58016326700	DRON:00069285
DRON:00091883	58016557101	DRON:00069285
DRON:00091884	66267098615	DRON:00069285
DRON:00091885	66267098622	DRON:00069285
DRON:00091886	68115057922	DRON:00069285
DRON:00091986	00013530117	DRON:00069361
DRON:00091987	00179161670	DRON:00069361
DRON:00091988	00179161671	DRON:00069361
DRON:00091989	00179161672	DRON:00069361
DRON:00091990	00247225306	DRON:00069361
DRON:00091991	00247225312	DRON:00069361
DRON:00091992	10829530102	DRON:00069361
DRON:00091993	54569387800	DRON:00069361
DRON:00091994	54868284100	DRON:00069361
DRON:00091995	54868284101	DRON:00069361
DRON:00091996	54868284102	DRON:00069361
DRON:00091997	00004024126	DRON:00069366
DRON:00091998	00004024133	DRON:00069366
DRON:00091999	00004024193	DRON:00069366
DRON:00092000	00029415105	DRON:00069366
DRON:00092001	00029415139	DRON:00069366
DRON:00092002	12806024109	DRON:00069366
DRON:00092003	54569487100	DRON:00069366
DRON:00092004	54868413900	DRON:00069366
DRON:00092005	54868413901	DRON:00069366
DRON:00092006	54868413902	DRON:00069366
DRON:00092007	54868413906	DRON:00069366
DRON:00092008	60351415105	DRON:00069366
DRON:00092009	60351415107	DRON:00069366
DRON:00092010	60351415108	DRON:00069366
