clinical_drug	ingredient	strength	unit
DRON:00034787	CHEBI:31607	304.0	UO:0000022
DRON:00034788	CHEBI:22652	10.0	UO:0000022
DRON:00034788	CHEBI:27470	5.0	UO:0000022
DRON:00034788	CHEBI:31608	250.0	UO:0000022
DRON:00034789	CHEBI:17439	0.05	UO:0000022
DRON:00034793	CHEBI:26710	300.0	UO:0000022
DRON:00034794	CHEBI:3309	600.0	UO:0000022
DRON:00034795	DRON:00017761	300.0	UO:0000022
DRON:00034796	CHEBI:3311	1260.0	UO:0000022
DRON:00034797	DRON:00013867	830.0	UO:0000022
DRON:00034799	CHEBI:35176	61.8	UO:0000022
DRON:00034803	CHEBI:39501	300.0	UO:0000022
DRON:00034804	CHEBI:9014	500.0	UO:0000022
DRON:00034805	CHEBI:4909	200.0	UO:0000022
DRON:00034806	CHEBI:31599	300.0	UO:0000022
DRON:00034807	CHEBI:31599	300.0	UO:0000022
DRON:00034809	CHEBI:49662	50.0	UO:0000022
DRON:00034810	CHEBI:49662	25.0	UO:0000022
DRON:00034811	CHEBI:7476	250.0	UO:0000022
DRON:00034812	CHEBI:48574	200.0	UO:0000022
DRON:00034814	CHEBI:31162	60.0	UO:0000022
DRON:00034816	CHEBI:32192	20.0	UO:0000022
DRON:00034817	CHEBI:3419	125.0	UO:0000022
DRON:00034882	CHEBI:6067	5.0	UO:0000022
DRON:00034923	DRON:00012647	200.0	UO:0000022
DRON:00034950	CHEBI:15365	500.0	UO:0000022
DRON:00034950	CHEBI:3994	25.0	UO:0000022
DRON:00034953	CHEBI:15365	500.0	UO:0000022
DRON:00034953	CHEBI:15428	133.0	UO:0000022
DRON:00034954	CHEBI:46195	120.0	UO:0000022
DRON:00034955	CHEBI:27732	30.0	UO:0000022
DRON:00034955	CHEBI:46195	450.0	UO:0000022
DRON:00034956	CHEBI:27732	25.0	UO:0000022
DRON:00034956	CHEBI:46195	450.0	UO:0000022
DRON:00034957	CHEBI:27732	30.0	UO:0000022
DRON:00034957	CHEBI:46195	500.0	UO:0000022
DRON:00034959	CHEBI:16914	100.0	UO:0000022
DRON:00034959	CHEBI:46195	150.0	UO:0000022
DRON:00034981	CHEBI:31607	330.0	UO:0000022
DRON:00034982	CHEBI:27470	0.4	UO:0000022
DRON:00034992	CHEBI:22652	100.0	UO:0000022
DRON:00034994	CHEBI:28934	0.3	UO:0000022
DRON:00034995	CHEBI:48574	100.0	UO:0000022
DRON:00035026	DRON:00017083	454.0	UO:0000022
DRON:00035027	CHEBI:6909	200.0	UO:0000022
DRON:00035027	DRON:00013973	250.0	UO:0000022
DRON:00035034	CHEBI:32026	500.0	UO:0000022
DRON:00035034	CHEBI:3682	37.5	UO:0000022
DRON:00035038	CHEBI:63580	100.0	UO:0000022
DRON:00035040	CHEBI:31607	322.0	UO:0000022
DRON:00035065	CHEBI:6904	190.0	UO:0000022
DRON:00035066	CHEBI:6904	95.0	UO:0000022
DRON:00035067	CHEBI:16163	375.0	UO:0000022
DRON:00035068	CHEBI:7581	5.0	UO:0000022
DRON:00035070	CHEBI:77788	300.0	UO:0000022
DRON:00035071	DRON:00015896	100.0	UO:0000022
DRON:00035083	CHEBI:6060	50.0	UO:0000022
DRON:00035084	CHEBI:135737	2.0	UO:0000022
DRON:00035085	CHEBI:135737	4.0	UO:0000022
DRON:00035087	CHEBI:5001	100.0	UO:0000022
DRON:00035089	CHEBI:9453	60.0	UO:0000022
DRON:00035090	CHEBI:83168	8.0	UO:0000022
DRON:00035093	CHEBI:7581	10.0	UO:0000022
DRON:00035096	CHEBI:31413	10.0	UO:0000022
DRON:00035098	CHEBI:32168	200.0	UO:0000022
DRON:00035099	CHEBI:3387	400.0	UO:0000022
DRON:00035100	CHEBI:2955	250.0	UO:0000022
DRON:00035104	CHEBI:32223	2.5	UO:0000022
DRON:00035107	CHEBI:28741	1.1	UO:0000022
DRON:00035108	CHEBI:27306	20.0	UO:0000022
DRON:00035109	CHEBI:22652	25.0	UO:0000022
DRON:00035110	CHEBI:22652	200.0	UO:0000022
DRON:00035111	CHEBI:31186	0.001	UO:0000022
DRON:00035113	CHEBI:50868	50.0	UO:0000022
DRON:00035114	CHEBI:2922	3.0	UO:0000022
DRON:00035172	CHEBI:31824	400.0	UO:0000022
DRON:00035173	CHEBI:31824	600.0	UO:0000022
DRON:00035174	CHEBI:85260	250.0	UO:0000022
DRON:00035175	CHEBI:45924	20.0	UO:0000022
DRON:00035175	CHEBI:9332	100.0	UO:0000022
DRON:00035179	CHEBI:26948	3.0	UO:0000022
DRON:00035186	DRON:00010443	400.0	UO:0000022
DRON:00035187	DRON:00015071	160.0	UO:0000022
